Domain,Concept,Label,Real,Background
general,Evolution,TRUE,TRUE,
general,Plate Tectonics,TRUE,TRUE,
general,Photosynthesis,TRUE,TRUE,
general,The Water Cycle,TRUE,TRUE,
general,Global Warming,TRUE,TRUE,
general,DNA,TRUE,TRUE,
general,Atomic,TRUE,TRUE,
general,The Laws of Thermodynamics,TRUE,TRUE,
general,Newton's Laws of Motion,TRUE,TRUE,
general,Relativity Theory,TRUE,TRUE,
general,Quantum Mechanics,TRUE,TRUE,
general,The Solar System,TRUE,TRUE,
general,The Big Bang Theory,TRUE,TRUE,
general,Black Holes,TRUE,TRUE,
general,Immunization,TRUE,TRUE,
general,Algebra,TRUE,TRUE,
general,Geometry,TRUE,TRUE,
general,Calculus,TRUE,TRUE,
general,Probability,TRUE,TRUE,
general,Statistics,TRUE,TRUE,
general,Mathematical Logic,TRUE,TRUE,
general,Set Theory,TRUE,TRUE,
general,Linear Algebra,TRUE,TRUE,
general,Critical Thinking,TRUE,TRUE,
general,Cognitive Bias,TRUE,TRUE,
general,Epistemology,TRUE,TRUE,
general,Ethics,TRUE,TRUE,
general,Existentialism,TRUE,TRUE,
general,Middle Ages,TRUE,TRUE,
general,Renaissance,TRUE,TRUE,
general,Industrial Revolution,TRUE,TRUE,
general,World War II,TRUE,TRUE,
general,Cold War,TRUE,TRUE,
general,Decolonization and Independence Movements,TRUE,TRUE,
general,Civil Rights Movement,TRUE,TRUE,
general,Globalization,TRUE,TRUE,
general,Human Rights,TRUE,TRUE,
general,Economics,TRUE,TRUE,
general,Socialism,TRUE,TRUE,
general,Capitalism,TRUE,TRUE,
general,Game Theory,TRUE,TRUE,
general,Public Policy,TRUE,TRUE,
general,Poetry,TRUE,TRUE,
general,Linguistics,TRUE,TRUE,
general,Grammar,TRUE,TRUE,
general,Semiotics,TRUE,TRUE,
general,Cognitive Linguistics,TRUE,TRUE,
general,Language Acquisition,TRUE,TRUE,
general,Computer Science,TRUE,TRUE,
general,Programming,TRUE,TRUE,
general,Algorithms,TRUE,TRUE,
general,Data Structures,TRUE,TRUE,
general,Web,TRUE,TRUE,
general,Internet,TRUE,TRUE,
general,Machine Learning,TRUE,TRUE,
general,Artificial Intelligence,TRUE,TRUE,
general,Cybersecurity,TRUE,TRUE,
general,Software Engineering,TRUE,TRUE,
general,Computer Networks,TRUE,TRUE,
general,Database Systems,TRUE,TRUE,
general,Human-Computer Interaction,TRUE,TRUE,
general,Gravity,TRUE,TRUE,
general,Left-wing politics,TRUE,TRUE,
general,Right-wing politics,TRUE,TRUE,
general,Terrorism,TRUE,TRUE,
general,Feminism,TRUE,TRUE,
general,Virtual Reality,TRUE,TRUE,
general,Mixed Reality,TRUE,TRUE,
general,Affirmative Action,TRUE,TRUE,
general,LGBT,TRUE,TRUE,
general,Abraham Lincoln,TRUE,TRUE,
general,Benjamin Franklin,TRUE,TRUE,
general,Henry Ford,TRUE,TRUE,
general,Vietnam War,TRUE,TRUE,
general,Chocolate,TRUE,TRUE,
general,Watermelon,TRUE,TRUE,
general,Apple Pie,TRUE,TRUE,
general,Big Apple,TRUE,TRUE,
general,Republic of Texas,TRUE,TRUE,
general,World Wide Web,TRUE,TRUE,
general,HTML,TRUE,TRUE,
general,HTTP,TRUE,TRUE,
general,Pop Music,TRUE,TRUE,
general,Rock Music,TRUE,TRUE,
general,Folk Music,TRUE,TRUE,
general,Jazz,TRUE,TRUE,
general,Impressionnisme,TRUE,TRUE,
general,Abstract Expressionism,TRUE,TRUE,
general,Fauvism,TRUE,TRUE,
general,Christmas,TRUE,TRUE,
general,Thanksgiving,TRUE,TRUE,
general,Communism,TRUE,TRUE,
general,Liberalism,TRUE,TRUE,
general,Nuclear fusion,TRUE,TRUE,
general,Walmart,TRUE,TRUE,
general,McDonald's,TRUE,TRUE,
general,Coca-Cola,TRUE,TRUE,
general,Toyota,TRUE,TRUE,
general,Heroin,TRUE,TRUE,
general,Existentialism,TRUE,TRUE,
general,Nihilism,TRUE,TRUE,
general,Nuclear bomb,TRUE,TRUE,
general,YouTube,TRUE,TRUE,
general,Facebook,TRUE,TRUE,
general,United States,TRUE,TRUE,
general,Donald Trump,TRUE,TRUE,
general,Wikipedia,TRUE,TRUE,
general,Elizabeth II,TRUE,TRUE,
general,Google,TRUE,TRUE,
general,India,TRUE,TRUE,
general,Barack Obama,TRUE,TRUE,
general,Bible,TRUE,TRUE,
general,Cristiano Ronaldo,TRUE,TRUE,
general,United Kingdom,TRUE,TRUE,
general,Michael Jackson,TRUE,TRUE,
general,Elon Musk,TRUE,TRUE,
general,Cleopatra,TRUE,TRUE,
general,Lady Gaga,TRUE,TRUE,
general,Adolf Hitler,TRUE,TRUE,
general,Eminem,TRUE,TRUE,
general,Lionel Messi,TRUE,TRUE,
general,Game of Thrones,TRUE,TRUE,
general,World War I,TRUE,TRUE,
general,The Beatles,TRUE,TRUE,
general,Justin Bieber,TRUE,TRUE,
general,Canada,TRUE,TRUE,
general,Freddie Mercury,TRUE,TRUE,
general,Kim Kardashian,TRUE,TRUE,
general,Johnny Depp,TRUE,TRUE,
general,Steve Jobs,TRUE,TRUE,
general,Dwayne Johnson,TRUE,TRUE,
general,Michael Jordan,TRUE,TRUE,
general,Australia,TRUE,TRUE,
general,Taylor Swift,TRUE,TRUE,
general,Stephen Hawking,TRUE,TRUE,
general,China,TRUE,TRUE,
general,Malware,TRUE,TRUE,
general,Russia,TRUE,TRUE,
general,New York City,TRUE,TRUE,
general,Japan,TRUE,TRUE,
general,Darth Vader,TRUE,TRUE,
general,Star Wars,TRUE,TRUE,
general,Miley Cyrus,TRUE,TRUE,
general,Germany,TRUE,TRUE,
general,September 11 attacks,TRUE,TRUE,
general,Leonardo DiCaprio,TRUE,TRUE,
general,Kobe Bryant,TRUE,TRUE,
general,Joe Biden,TRUE,TRUE,
general,Tom Cruise,TRUE,TRUE,
general,Rihanna,TRUE,TRUE,
general,Albert Einstein,TRUE,TRUE,
general,Academy Awards,TRUE,TRUE,
general,Cancer,TRUE,TRUE,
general,Harry Potter,TRUE,TRUE,
general,Elvis Presley,TRUE,TRUE,
general,Pulp Fiction,TRUE,TRUE,
general,Scarlett Johansson,TRUE,TRUE,
general,Lil Wayne,TRUE,TRUE,
general,The Dark Knight,TRUE,TRUE,
general,Tesla,TRUE,TRUE,
general,Queen Victoria,TRUE,TRUE,
general,Tacos,TRUE,TRUE,
general,John F. Kennedy,TRUE,TRUE,
general,COVID-19 pandemic,TRUE,TRUE,
general,Marilyn Monroe,TRUE,TRUE,
general,Sushi,TRUE,TRUE,
general,The Lord of the Rings,TRUE,TRUE,
general,How I Met Your Mother,TRUE,TRUE,
general,The Godfather,TRUE,TRUE,
general,France,TRUE,TRUE,
general,Ariana Grande,TRUE,TRUE,
general,Jennifer Aniston,TRUE,TRUE,
general,Breaking Bad,TRUE,TRUE,
general,Muhammad Ali,TRUE,TRUE,
general,Will Smith,TRUE,TRUE,
general,Ted Bundy,TRUE,TRUE,
general,Pablo Escobar,TRUE,TRUE,
general,Gone with the Wind,TRUE,TRUE,
general,Mark Zuckerberg,TRUE,TRUE,
general,HIV,TRUE,TRUE,
general,William Shakespeare,TRUE,TRUE,
general,Titanic,TRUE,TRUE,
general,Pizza,TRUE,TRUE,
general,Ebola,TRUE,TRUE,
general,Singapore,TRUE,TRUE,
general,Earth,TRUE,TRUE,
general,Bill Gates,TRUE,TRUE,
general,Google,TRUE,TRUE,
general,Amazon.com,TRUE,TRUE,
general,Microsoft,TRUE,TRUE,
general,Israel,TRUE,TRUE,
general,Vladimir Putin,TRUE,TRUE,
